,sentence,label
0,didnt feel humiliated,sadness
1,go feeling hopeless damned hopeful around someone cares awake,sadness
2,im grabbing minute post feel greedy wrong,anger
3,ever feeling nostalgic fireplace know still property,love
4,feeling grouchy,anger
5,ive feeling little burdened lately wasnt sure,sadness
6,ive taking milligrams times recommended amount ive fallen asleep lot faster also feel like funny,surprise
7,feel confused life teenager jaded year old man,fear
8,petronas years feel petronas performed well made huge profit,joy
9,feel romantic,love
10,feel like make suffering seeing mean something,sadness
11,feel running divine experience expect type spiritual encounter,joy
12,think easiest time year feel dissatisfied,anger
13,feel low energy thirsty,sadness
14,immense sympathy general point possible proto writer trying find time write corners life sign agent let alone publishing contract feels little precious,joy
15,feel reassured anxiety side,joy
16,didnt really feel embarrassed,sadness
17,feel pretty pathetic time,sadness
18,started feeling sentimental dolls child began collection vintage barbie dolls sixties,sadness
19,feel compromised skeptical value every unit work put,fear
20,feel irritated rejected without anyone anything saying anything,anger
21,feeling completely overwhelmed two strategies help feel grounded pour heart journal form letter god end list five things grateful,fear
22,feeling amused delighted,joy
23,able help chai lifeline support encouragement great feeling glad able help,joy
24,already feel like fucked though dont usually eat morning,anger
25,still love wish best longer tolerate effect bm lives fact turned bitter angry person always particularly kind people around feeling stressed,sadness
26,feel inhibited someone elses kitchen like im painting someone elses picture,sadness
27,become overwhelmed feel defeated,sadness
28,feel kinda appalled feels like needs explain wide lenghth body measures etc pp,anger
29,feel superior dead chicken grieving child,joy
30,get giddy feeling elegant perfectly fitted pencil skirt,joy
31,remember feeling acutely distressed days,fear
32,seen heard read past couple days left feeling impressed companies,surprise
33,climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,anger
34,imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,joy
35,sure would make feel content anything,joy
36,feeling need creative,joy
37,however want know something someone causing feel less splendid self step away,joy
38,feel bit rude writing elderly gentleman ask gifts feel bit greedy christmas mild greed,anger
39,need need someone need protected feel safe small find season words,joy
40,plan share everyday life stories traveling adventures inspirations handmade creations hope also feel inspired,joy
41,already christmas trees got two feeling festive sure spurring get started book,joy
42,ive worn little concealer days im feeling brave dont want pale perfect,joy
43,feel strongly passionate jerk decides poke make fun us,joy
44,feeling discouraged already robbing peter pay paul get cow year cant afford get cow way,sadness
45,feeling listless need new things something different,sadness
46,lost special mind worry still sane wanted feel felt reading book know many times said sam special guarantee many times used paragraph tell special,joy
47,let go sad feeling want accepted first home mine,love
48,boat trip denmark,joy
49,stopped feeling cold began feeling hot,anger
50,need feel dough make sure perfect,joy
51,found feeling little discouraged morning,sadness
52,feel selfish spoiled,anger
53,stymied little bit wrote feeling unsure might go somewhere story unintended,fear
54,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skins scissor sisters valentine sun fed kayle daddy gerling awake unkind u,joy
55,feel know basically like fake realm science fiction,sadness
56,hate living dads roof gives excuse asshole hes providing live think feels needs make feel unwelcome possible ill leave,sadness
57,keep feeling pleasantly surprised supportiveness also ease new situations,surprise
58,feeling anymore vigorous sexual activity coming yes misspelt cumming days parts begin fall,joy
59,feel mom graceful warm loving smile rob time nurture heal,joy
60,feel talk brother law extremely popular one think stiff,joy
61,ate could feel gentle tingle throughout almost feeling healing taking place cellular level,love
62,feel like pressured young beautiful thin depending trend girls rejuvenated butt implants,fear
63,began several times week feeling tortured hallucinations moving people figures sounds vibrations,fear
64,nearly finished week detox feel amazing,surprise
65,feel selfish read back former posts never asked prayers others never considered may others deserve prayers answered,anger
66,know pain parents feel enraged child becomes violent,anger
67,roller coaster emotions supposed feelings something unpleasant coming,sadness
68,suppose truth needs shared havent feeling faithful lately ive dwelled doubt uncertainty faith,love
69,feeling brave bought clearly makeup,joy
70,feeling miserable c also proudest mum earth,sadness
71,figure family loves us matter around anyone else feel embarrassed michelle goes ballistic,sadness
72,necessarily think f bombs sex necessary stories feel reassured see print journals,joy
73,feel ovaries aching talking like put,sadness
74,feel like much chris mostly took many pictures unimportant stuff,sadness
75,im tired book ready finding given unsuitable images feeling blamed result sit well,sadness
